Model Size,Perplexity
17.307958,225.1700
17.525256,214.6500
17.959852,207.1100
18.047056,183.4400
18.499604,175.9400
18.574158,177.8900
18.940708,174.3200
18.952152,174.0700
19.327258,173.0100
19.4047,168.6900
20.024452,160.4200
20.160358,159.7000
20.606908,162.4900
20.73225,155.1600
21.176752,158.2900
21.214892,146.0100
22.017856,167.5700
22.066558,156.2200
22.409052,152.2500
22.593108,163.7900
23.142848,148.3400
23.184854,160.6800
23.706208,168.0800
23.721352,154.8000
24.543256,154.9400
24.899308,155.8300
25.3149,139.6400
25.465056,137.5300
26.172408,148.0300
26.243946,147.0300
26.838958,159.8200
26.908448,150.0500
27.525508,158.9400
28.501996,164.65
29.370104,173.9400
30.471708,161.8700
31.154048,149.52
32.064808,160.1000
33.037656,140.23
33.801254,155.02
35.147452,139.48
35.879648,145.5000