zen_score,Model Size,Perplexity
-0.0595,17.307958,225.1700
1.0980,17.525256,214.6500
2.4020,17.959852,207.1100
2.4590,18.047056,183.4400
3.0660,18.499604,175.9400
3.2150,18.574158,177.8900
3.4300,18.940708,174.3200
3.7300,18.952152,174.0700
3.7710,19.327258,173.0100
4.1880,19.4047,168.6900
4.4450,20.024452,160.4200
4.5660,20.160358,159.7000
4.2270,20.606908,162.4900
4.9900,20.73225,155.1600
5.2270,21.176752,158.2900
5.5900,21.214892,146.0100
4.9900,22.017856,167.5700
5.1370,22.066558,156.2200
5.9300,22.409052,152.2500
5.3300,22.593108,163.7900
6.3900,23.142848,148.3400
5.3950,23.184854,160.6800
5.1170,23.706208,168.0800
6.0400,23.721352,154.8000
5.8600,24.543256,154.9400
5.7230,24.899308,155.8300
6.7460,25.3149,139.6400
6.6640,25.465056,137.5300
5.9450,26.172408,148.0300
7.0350,26.243946,147.0300
5.6170,26.838958,159.8200
6.8000,26.908448,150.0500
5.8120,27.525508,158.9400
6.508,28.501996,164.65
6.3630,29.370104,173.9400
5.9100,30.471708,161.8700
7.242,31.154048,149.52
6.0160,32.064808,160.1000
7.312,33.037656,140.23
6.965,33.801254,155.02
7.508,35.147452,139.48
7.7580,35.879648,145.5000